name	gender
Florence.Nightingale	F
Henry.Reeve	M
Helen.Richardson	F
John.C.Macdonald	M
Fanny.Nightingale	F
William.Nightingale	M
Parthenope.Nightingale	F
Henry.Harry.Bonham.Carter	M
Uncle.Octavius.Smith	M
Aunt.Jane.Smith	F
Aunt.Mai.Smith	F
Mary.Ann.Evans.George.Eliot	F
Mary.Clarke.Mohl	F
Charles.Bracebridge	M
Selina.Bracebridge	F
Sidney.Herbert	M
Liz.Herbert	F
Richard.Milnes	M
Alexis.Soyer	M
Lady.Charlotte.Canning	F
Elizabeth.Blackwell	F
Queen.Victoria	F
Sir.James.Clark	M
John.Sutherland	M
Lord.Panmure	M
Dr.William.Farr	M
William.Rathbone	M
Angelique.Lucille.Pringle	F
Rachel.Williams	F
Harriet.Martineau	F
Adolphe.Quetelet	M
Benjamin.Jowett	M
Sir.Francis.Galton	M
Sir.Alexander.Tulloch	M
Sir.John.McNeill	M
Charles.Babbage	M
Elizabeth.Gaskell	F
Edwin.Chadwick	M
Aunt.Julia.Smith	F
Lord.Palmerston	M
Lord.Shaftesbury.Ashley	M
Dr.William.Bowman	M
Dr.Samuel.Howe	M
Ada.Lovelace	F
Julia.Ward.Howe	F
John.Stuart.Mill	M
Helen.Taylor	F
Sir.Douglas.Strutt.Galton	M
Lady.Galton.Marianne.Nicholson	F
Julius.Mohl	M
Mary.Somerville	F
Hilary.Bonham.Carter	F
Arthur.Hugh.Clough	M
Mary.Clare.Moore	F
Charles.Dickens	M
Aunt.Patty.Smith	F
